iter	Logloss
0	0.6874516024
1	0.6823484009
2	0.6773825894
3	0.6724712206
4	0.6679217544
5	0.6635467894
6	0.6601411705
7	0.6555869449
8	0.6508584062
9	0.6456368134
10	0.6411728889
11	0.6378510725
12	0.6330243313
13	0.6290951123
14	0.6250804467
15	0.6219430267
16	0.6180368702
17	0.6143576459
18	0.6102960814
19	0.6077772698
20	0.6043045383
21	0.6020554075
22	0.5985754506
23	0.5951573323
24	0.5919394986
25	0.5880588625
26	0.5854335444
27	0.5834235955
28	0.5801066363
29	0.5765964124
30	0.5732764966
31	0.5701055935
32	0.567741261
33	0.5652515936
34	0.5622132736
35	0.5590425678
36	0.5557304496
37	0.5540713608
38	0.5523440929
39	0.5494658504
40	0.5470004038
41	0.5454576314
42	0.5433179196
43	0.5412926975
44	0.5392637635
45	0.5374227966
46	0.535199507
47	0.5322744613
48	0.5294437801
49	0.5273081842
50	0.5259589279
51	0.523609607
52	0.5222127269
53	0.5199720428
54	0.5180507229
55	0.516819257
56	0.5156532915
57	0.5131930466
58	0.5113879494
59	0.5096293715
60	0.5076015387
61	0.5049204031
62	0.5033229478
63	0.5012075506
64	0.4993567096
65	0.497641213
66	0.4965280777
67	0.4943011725
68	0.4919332797
69	0.4896099108
70	0.4875710363
71	0.4854539996
72	0.483308714
73	0.4821810972
74	0.4804898742
75	0.4793069578
76	0.4779000751
77	0.4763883328
78	0.4754262309
79	0.473479391
80	0.4727451015
81	0.4715396685
82	0.4703059337
83	0.4690614858
84	0.4677941828
85	0.4663094751
86	0.465200739
87	0.463951252
88	0.4633183793
89	0.4618281103
90	0.460527331
91	0.4592626804
92	0.4579972861
93	0.4567198977
94	0.4552824488
95	0.4544835951
96	0.4529481997
97	0.4512120328
98	0.4494700662
99	0.4487873328
100	0.44743793
101	0.4463085852
102	0.4455808974
103	0.4442634392
104	0.4426778728
105	0.4421297414
106	0.4414103409
107	0.4403818439
108	0.4398239016
109	0.4392717534
110	0.4385237249
111	0.4376833261
112	0.4364977215
113	0.435971246
114	0.4351711516
115	0.4343901588
116	0.4338521726
117	0.4324416199
118	0.4313221825
119	0.429984434
120	0.4291104325
121	0.4281971837
122	0.4272848633
123	0.4262842166
124	0.4253315403
125	0.4248014179
126	0.4244882417
127	0.4238893071
128	0.4235252544
129	0.4227508678
130	0.4224589281
131	0.4221712256
132	0.42106852
133	0.4207906604
134	0.4198334113
135	0.4190659796
136	0.4180258645
137	0.4170209819
138	0.416636445
139	0.4159191804
140	0.4152475712
141	0.4142870036
142	0.4134650194
143	0.4128166713
144	0.4123425931
145	0.4116733362
146	0.4114251863
147	0.411208105
148	0.4109286059
149	0.4105626939
150	0.4098207301
151	0.4089498018
152	0.4087230784
153	0.4077798254
154	0.4074169766
155	0.4068424123
156	0.4061895004
157	0.4057994137
158	0.404999956
159	0.4044836691
160	0.4034105509
161	0.4029920478
162	0.4028454366
163	0.4021127287
164	0.401684038
165	0.4012209338
166	0.4007959627
167	0.4006047591
168	0.3997963205
169	0.3991303443
170	0.3983932705
171	0.3978333958
172	0.3974533975
173	0.3966397621
174	0.3962197497
175	0.3960309318
176	0.3954020799
177	0.3949115433
178	0.3945372938
179	0.3938398626
180	0.3932083398
181	0.3927940718
182	0.3920612054
183	0.3917391057
184	0.3913278569
185	0.3908463728
186	0.390429315
187	0.3899364153
188	0.3894599078
189	0.388556642
190	0.3879019625
191	0.3878413826
192	0.3871045108
193	0.3863099704
194	0.3859812018
195	0.3854969608
196	0.3850214852
197	0.384483147
198	0.3841395659
199	0.3838906355
200	0.3836907848
201	0.3833936999
202	0.383275806
203	0.38287321
204	0.3824872205
205	0.3821514539
206	0.3815043781
207	0.3808095447
208	0.3802430325
209	0.3799865531
210	0.3797098516
211	0.3796352186
212	0.3791226086
213	0.3788616737
214	0.3782089538
215	0.3781390677
216	0.377765593
217	0.3772271026
218	0.3767965563
219	0.3765725194
220	0.3759785691
221	0.3754835019
222	0.3748935462
223	0.3745328974
224	0.3740330023
225	0.3736565492
226	0.373599381
227	0.3733907942
228	0.3728575124
229	0.3723824706
230	0.3720730548
231	0.3718459272
232	0.3716015343
233	0.3712014088
234	0.3708191025
235	0.3703843594
236	0.3701949134
237	0.3699775084
238	0.3696046588
239	0.3692553591
240	0.3689837441
241	0.3687477994
242	0.3685029558
243	0.3679989037
244	0.3676484265
245	0.3674599191
246	0.3672473543
247	0.366940434
248	0.3665360647
249	0.3660088079
250	0.3655559892
251	0.3652422846
252	0.3647976898
253	0.3645492781
254	0.3643124373
255	0.3639132474
256	0.3635135847
257	0.3632695895
258	0.3630257795
259	0.3626010493
260	0.3621226427
261	0.3615190094
262	0.3612367249
263	0.360844002
264	0.3606114513
265	0.3603735278
266	0.3600618585
267	0.3595841696
268	0.359318975
269	0.3591592726
270	0.3590529744
271	0.3587359736
272	0.3584271098
273	0.3582303922
274	0.3578732228
275	0.357577063
276	0.3572056492
277	0.3570047794
278	0.3568817454
279	0.3564974783
280	0.3561425062
281	0.3558799289
282	0.3556905447
283	0.3554232307
284	0.3551863505
285	0.3551543727
286	0.3549145457
287	0.3546422569
288	0.3541185919
289	0.3538421917
290	0.3534363416
291	0.3532250302
292	0.3528719911
293	0.3526829686
294	0.3526532731
295	0.3522036529
296	0.3519042928
297	0.3516954575
298	0.3516401995
299	0.351621075
300	0.3511217687
301	0.3507745601
302	0.3503217979
303	0.3501615657
304	0.3496965504
305	0.3494982485
306	0.3491667981
307	0.3489349792
308	0.3484895534
309	0.3481254638
310	0.3479800738
311	0.3477782782
312	0.3475656504
313	0.347551227
314	0.3472780915
315	0.3471352105
316	0.3467545885
317	0.3464391129
318	0.346304772
319	0.345923157
320	0.345908535
321	0.3456010081
322	0.3455273725
323	0.3454596876
324	0.3453182669
325	0.3450985145
326	0.3447361271
327	0.3444878908
328	0.3443233186
329	0.3440057155
330	0.3437273818
331	0.3434546707
332	0.3432895767
333	0.3432513837
334	0.3429778961
335	0.3427364527
336	0.3425568332
337	0.3423556937
338	0.3421621345
339	0.3418298841
340	0.3415818254
341	0.3411872193
342	0.3409839783
343	0.3407473676
344	0.3405336534
345	0.3404584829
346	0.3403979694
347	0.3401868313
348	0.3399758757
349	0.3395236133
350	0.3392146471
351	0.3389673058
352	0.3387589018
353	0.3384862657
354	0.3383895485
355	0.3380372731
356	0.3379027642
357	0.3378064369
358	0.3376262425
359	0.3373693823
360	0.3372091938
361	0.3370507116
362	0.3367936015
363	0.3365170211
364	0.3364536093
365	0.3363714052
366	0.3362229085
367	0.3358995857
368	0.3356920207
369	0.3355362452
370	0.3353021683
371	0.3352227697
372	0.3349914378
373	0.3348831035
374	0.3346617186
375	0.3343926956
376	0.3341443026
377	0.3341066408
378	0.3339380457
379	0.3337360415
380	0.3335049494
381	0.3334081651
382	0.3332577307
383	0.3329743513
384	0.3327432867
385	0.3327079846
386	0.3324526713
387	0.3321641341
388	0.3320438421
389	0.3320062696
390	0.3318727073
391	0.3317186915
392	0.3315216821
393	0.3312787187
394	0.3310727493
395	0.3306420158
396	0.3305355402
397	0.3304202703
398	0.3303341494
399	0.3302606942
400	0.3301263635
401	0.3298529156
402	0.3295598623
403	0.3294483508
404	0.3290065233
405	0.3288982233
406	0.3286560291
407	0.3286300367
408	0.3284843762
409	0.3282298596
410	0.327922774
411	0.3275550924
412	0.3274231881
413	0.3271941189
414	0.3271660109
415	0.3268808995
416	0.3268029253
417	0.3266053934
418	0.3265588852
419	0.3262114978
420	0.3260780037
421	0.3257324738
422	0.3254863082
423	0.3253485121
424	0.3251885092
425	0.3250548648
426	0.32493308
427	0.3248449898
428	0.3246805435
429	0.3245568431
430	0.3244662237
431	0.3243400975
432	0.3242260173
433	0.3240757081
434	0.3239423414
435	0.3236674759
436	0.3234922639
437	0.3233565946
438	0.3233129439
439	0.3231697178
440	0.3228825295
441	0.3228301122
442	0.3227555196
443	0.3225079003
444	0.3223902759
445	0.322292468
446	0.3220847669
